Country,Happiness Index,Unemployment rate (%),GDP per hour worked ($),Non-fatal occupational injuries per 100'000 workers,Occupational fatalities per 100'000 workers,Inspectors per 10'000 employed persons,min. monthly wage (PPP $),Extremely poor (%),Moderately poor (%),Not extremely or moderately poor (%),Average hours per week per employed person,Share of employed working 49 or more hours per week (%),Employment to Population ratio %
Republic Of Korea,6.038,2.8,49.6,,,,2236.0,0.0,0.0,100.0,38.6,17.0,79.8
Republic Of Korea,6.038,2.8,49.6,,,,2236.0,0.0,0.0,100.0,38.6,17.0,62.4
Republic Of Korea,6.038,2.8,1.4,,,,2236.0,0.0,0.0,100.0,38.6,17.0,79.8
Republic Of Korea,6.038,2.8,1.4,,,,2236.0,0.0,0.0,100.0,38.6,17.0,62.4
Republic Of Moldova,5.819,1.6,12.7,78.0,4.8,0.4,602.0,0.0,0.0,100.0,39.7,3.0,70.1
Republic Of The Congo,5.03,,7.6,,,,519.0,42.0,25.0,33.0,48.6,45.0,54.7
Romania,6.563,5.6,52.1,71.0,1.8,1.9,1503.0,,,,39.7,3.0,48.6
Russian Federation,5.945,3.1,44.3,96.0,5.0,,497.0,0.0,0.0,100.0,39.2,2.0,58.6
Rwanda,,12.4,6.0,,,,7.0,33.0,31.0,37.0,30.4,12.0,55.8
Réunion,,22.4,,,,,,,,,33.0,9.0,
Saint Kitts And Nevis,,,,,,,727.0,,,,,,
Saint Lucia,,12.1,23.2,,,,,,,,39.9,7.0,61.7
Saint Vincent And The Grenadines,,,21.9,,,,612.0,,,,,,54.2
Samoa,,5.0,12.3,,,,440.0,,,,44.5,11.0,40.2
San Marino,,4.9,,,,,1926.0,,,,,,
Sao Tome And Principe,,8.8,16.6,,,,,,,,,,21.4
Saudi Arabia,6.6,4.0,56.6,,,,2126.0,0.0,0.0,100.0,,,61.3
Senegal,4.856,2.8,6.7,,,,247.0,10.0,23.0,67.0,45.5,17.0,48.9
